EVT_PHYS,EVT_NAME,Sum of ACRES
Shrubland,Northern Atlantic Coastal Plain Dune and Swale Shrubland,"3,953"
Shrubland,Hawai'i Dry Coastal Strand Shrubland,"3,807"
Shrubland,Hawai'i Lowland Mesic Shrubland,"2,747"
Shrubland,Pacific Maritime Shrub Swamp,"2,737"
Shrubland,Baja Semi-Desert Coastal Succulent Scrub,"2,480"
Shrubland,North Pacific Shrub Swamp,"2,085"
Shrubland,Mediterranean California Alpine Fell-Field,820
Shrubland,Laurentian-Acadian Calcareous Rocky Outcrop Shrubland,430
Shrubland,Laurentian Acidic Rocky Outcrop Shrubland,273
Shrubland,North Pacific Hypermaritime Shrub Headland,192
Shrubland,Polynesian Ruderal Scrub Coastal Strand,114
Shrubland,Hawai'i Wet-Mesic Coastal Strand,67
Snow-Ice,North American Glacier and Ice Field,"355,640"
Sparsely Vegetated,Colorado Plateau Mixed Bedrock Canyon and Tableland,"6,772,652"
Sparsely Vegetated,Inter-Mountain Basins Playa,"6,075,741"
Sparsely Vegetated,North American Warm Desert Pavement,"5,031,543"
Sparsely Vegetated,Rocky Mountain Cliff Canyon and Massive Bedrock,"2,938,681"
Sparsely Vegetated,Rocky Mountain Alpine Bedrock and Scree,"2,378,608"
Sparsely Vegetated,Inter-Mountain Basins Shale Badland,"2,313,673"
Sparsely Vegetated,North American Warm Desert Playa,"2,224,303"
Sparsely Vegetated,North American Warm Desert Bedrock Cliff and Outcrop,"2,125,845"
Sparsely Vegetated,Inter-Mountain Basins Cliff and Canyon,"1,352,871"
Sparsely Vegetated,Western Great Plains Badlands,"1,268,428"
Sparsely Vegetated,Mediterranean California Alpine Bedrock and Scree,"1,057,203"
Sparsely Vegetated,North American Warm Desert Active and Stabilized Dune,"876,004"
Sparsely Vegetated,Inter-Mountain Basins Wash,"857,882"
Sparsely Vegetated,Inter-Mountain Basins Volcanic Rock and Cinder Land,"756,093"
Sparsely Vegetated,Hawai'i Dry-Site Lava Flow,"642,224"
Sparsely Vegetated,Sierra Nevada Cliff and Canyon,"636,620"
Sparsely Vegetated,Western Great Plains Cliff and Outcrop,"555,460"
Sparsely Vegetated,North American Warm Desert Badland,"492,615"
Sparsely Vegetated,Inter-Mountain Basins Active and Stabilized Dune,"479,155"
Sparsely Vegetated,North Pacific Montane Massive Bedrock-Cliff and Talus,"466,407"
Sparsely Vegetated,North Pacific Alpine and Subalpine Bedrock and Scree,"463,184"
Sparsely Vegetated,Central California Coast Ranges Cliff and Canyon,"376,412"
Sparsely Vegetated,North American Warm Desert Volcanic Rockland,"361,717"
Sparsely Vegetated,Southern California Coast Ranges Cliff and Canyon,"113,607"
Sparsely Vegetated,North Pacific Active Volcanic Rock and Cinder Land,"99,743"
Sparsely Vegetated,Klamath-Siskiyou Cliff and Outcrop,"97,704"
Sparsely Vegetated,Columbia Plateau Ash and Tuff Badland,"49,702"
Sparsely Vegetated,North Pacific Maritime Coastal Sand Dune and Strand,"33,029"
Sparsely Vegetated,Northern Atlantic Coastal Plain Sandy Beach,"28,899"
Sparsely Vegetated,Mediterranean California Northern Coastal Dune,"27,267"
Sparsely Vegetated,Southern Atlantic Coastal Plain Sea Island Beach,"18,164"
Sparsely Vegetated,South Texas Salt and Brackish Tidal Flat,"17,975"
Sparsely Vegetated,Hawai'i Alpine Bedrock and Scree,"17,297"
Sparsely Vegetated,Great Lakes Dune,"15,124"
Sparsely Vegetated,Texas Coast Beach,"14,375"
Sparsely Vegetated,Florida Panhandle Beach Vegetation,"12,078"
Sparsely Vegetated,Edwards Plateau Cliff,"11,675"
Sparsely Vegetated,Central Atlantic Coastal Plain Sandy Beach,"5,939"
Sparsely Vegetated,Mediterranean California Southern Coastal Dune,"5,331"
Sparsely Vegetated,Hawai'i Dry Coastal Strand Sparse Vegetation,"4,945"
Sparsely Vegetated,Louisiana Beach,"4,421"
Sparsely Vegetated,Central Interior Acidic Cliff and Talus,"3,357"
Sparsely Vegetated,Southeastern Great Plains Cliff,"2,113"
Sparsely Vegetated,Southern Coastal Plain Sinkhole,"1,828"
Sparsely Vegetated,Central Interior Calcareous Cliff and Talus,"1,820"
Sparsely Vegetated,Southern Atlantic Coastal Plain Florida Beach,969
Sparsely Vegetated,Southwest Florida Beach,924
Sparsely Vegetated,Acadian-North Atlantic Rocky Coast,612
Sparsely Vegetated,Southeastern Coastal Plain Cliff,604
Sparsely Vegetated,Southeast Florida Beach,526
Sparsely Vegetated,Laurentian-Acadian Lakeshore Beach,522
Sparsely Vegetated,Laurentian-Acadian Acidic Cliff and Talus,427
Sparsely Vegetated,Gulf Coast Chenier Plain Beach,381
Sparsely Vegetated,Great Lakes Alkaline Rocky Shore and Cliff,220
Sparsely Vegetated,North-Central Appalachian Acidic Cliff and Talus,194
Sparsely Vegetated,Southwestern Great Plains Canyon,180
Sparsely Vegetated,Great Lakes Acidic Rocky Shore and Cliff,38
Sparsely Vegetated,Northeastern Erosional Bluff,23
Sparsely Vegetated,Laurentian-Acadian Calcareous Cliff and Talus,22
Sparsely Vegetated,North-Central Appalachian Circumneutral Cliff and Talus,21
Sparsely Vegetated,Southern Piedmont Granite Flatrock and Outcrop,21
Sparsely Vegetated,Cumberland Acidic Cliff and Rockhouse,15
Sparsely Vegetated,Southern Appalachian Granitic Dome,6
Sparsely Vegetated,South Florida Shell Hash Beach,4
(blank),(blank),
